Time [s],Channel 1,Channel 2
126.769056640,0,1
126.769167520,0,0
127.269195840,1,0
127.269311360,1,1
127.769323040,0,1
127.769430240,0,0
128.269465440,1,0
128.269626240,1,1
128.769640160,0,1
128.769751040,0,0
129.269767200,1,0
129.269895200,1,1
129.769905760,0,1
129.770017760,0,0
130.270044960,1,0
130.270156000,1,1
130.770188160,0,1
130.770293600,0,0
131.270318560,1,0
131.270447200,1,1
131.770448480,0,1
131.770547680,0,0
132.270581280,1,0
132.270696160,1,1
132.770725760,0,1
132.770837600,0,0
133.270862880,1,0
133.270984160,1,1
133.770991360,0,1
133.771100160,0,0
134.271126080,1,0
134.271248960,1,1
134.771280640,0,1
134.771394720,0,0
135.271420640,1,0
135.271543360,1,1
135.771556960,0,1
135.771671200,0,0
136.271687680,1,0
136.271813760,1,1
136.771824960,0,1
136.771937120,0,0
137.271961760,1,0
137.272077280,1,1
137.772088000,0,1
137.772197280,0,0
138.272222720,1,0
138.272341440,1,1
138.772364640,0,1
138.772465600,0,0
139.272499040,1,0
139.272620480,1,1
139.772651040,0,1
139.772762240,0,0
140.272795520,1,0
140.272910240,1,1
140.772936160,0,1
140.773044160,0,0
141.273068000,1,0
141.273196480,1,1
141.773200000,0,1
141.773298080,0,0
142.273328320,1,0
142.273472640,1,1
142.773520160,0,1
142.773631360,0,0
143.273651360,1,0
143.273779840,1,1
143.773782720,0,1
143.773872160,0,0
144.273905120,1,0
144.274025920,1,1
144.774060640,0,1
144.774170240,0,0
145.274207680,1,0
145.274321440,1,1
145.774347840,0,1
145.774459840,0,0
146.274485280,1,0
146.274612800,1,1
146.774632160,0,1
146.774737600,0,0
147.274763520,1,0
147.274879200,1,1
147.774889600,0,1
147.774997600,0,0
148.275026400,1,0
148.275148320,1,1
148.775167520,0,1
148.775268960,0,0
149.275299840,1,0
149.275424960,1,1
149.775442400,0,1
149.775552480,0,0
150.275582400,1,0
150.275694080,1,1
150.775704640,0,1
150.775793120,0,0
151.275791840,1,0
151.275900480,1,1
151.775881920,0,1
151.775964960,0,0
152.275967680,1,0
152.276064960,1,1
152.776056160,0,1
152.776144640,0,0
153.276146880,1,0
153.276250080,1,1
153.776232960,0,1
153.776310240,0,0
154.276311840,1,0
154.276415840,1,1
154.776405920,0,1
154.776501920,0,0
155.276498400,1,0
155.276595200,1,1
155.776631680,0,1
155.776740000,0,0
156.276760960,1,0
156.276890720,1,1
156.776900640,0,1
156.777013440,0,0
157.277036160,1,0
157.277148640,1,1
157.777158240,0,1
157.777264320,0,0
158.277302720,1,0
158.277424480,1,1
158.777439200,0,1
158.777536480,0,0
159.277570400,1,0
159.277695040,1,1
159.777711520,0,1
159.777820960,0,0
160.277860320,1,0
160.277966400,1,1
160.778019200,0,1
160.778123840,0,0
161.278151840,1,0
161.278279200,1,1
161.778284160,0,1
161.778372640,0,0
162.278413920,1,0
162.278524160,1,1
162.778543680,0,1
162.778653600,0,0
163.278692160,1,0
163.278816160,1,1
163.778826720,0,1
163.778918720,0,0
164.278955040,1,0
164.279075040,1,1
164.779094400,0,1
164.779207040,0,0
165.279235840,1,0
165.279354080,1,1
165.779385920,0,1
165.779492960,0,0
166.279525600,1,0
166.279649600,1,1
166.779658720,0,1
166.779762080,0,0
167.279791200,1,0
167.279902880,1,1
167.779937280,0,1
167.780044320,0,0
168.280079360,1,0
168.280198080,1,1
168.780221920,0,1
168.780324800,0,0
169.280373120,1,0
169.280500480,1,1
169.780516160,0,1
169.780624320,0,0
170.280657120,1,0
170.280768800,1,1
170.780809440,0,1
170.780914720,0,0
171.280968320,1,0
171.281098400,1,1
171.781100480,0,1
171.781195840,0,0
172.281241760,1,0
172.281354560,1,1
172.781370880,0,1
172.781477600,0,0
173.281525280,1,0
173.281648320,1,1
173.781655520,0,1
173.781750400,0,0
174.281786400,1,0
174.281905920,1,1
174.781948640,0,1
174.782059200,0,0
