Time [s],Channel 1,Channel 2
133.399392160,0,0
133.899417760,1,0
133.899611520,1,1
134.399637120,0,1
134.399813280,0,0
134.899828480,1,0
134.900014080,1,1
135.400056960,0,1
135.400249280,0,0
135.900266560,1,0
135.900462400,1,1
136.400495680,0,1
136.400701600,0,0
136.900746880,1,0
136.900932640,1,1
137.400963520,0,1
137.401155520,0,0
137.901169600,1,0
137.901360960,1,1
138.401397280,0,1
138.401596160,0,0
138.901604640,1,0
138.901801280,1,1
139.401802720,0,1
139.401985280,0,0
139.902001920,1,0
139.902186880,1,1
140.402255520,0,1
140.402446240,0,0
140.902562400,1,0
140.902743520,1,1
141.402802400,0,1
141.402999520,0,0
141.903020960,1,0
141.903201920,1,1
142.403235040,0,1
142.403412960,0,0
142.903427200,1,0
142.903606080,1,1
143.403644800,0,1
143.403824960,0,0
143.903844800,1,0
143.904032320,1,1
144.404061760,0,1
144.404236800,0,0
144.904254400,1,0
144.904434240,1,1
145.404501600,0,1
145.404684320,0,0
145.904704160,1,0
145.904884000,1,1
146.404932160,0,1
146.405134880,0,0
146.905154560,1,0
146.905338400,1,1
147.405403840,0,1
147.405608640,0,0
147.905622400,1,0
147.905810240,1,1
148.405848960,0,1
148.406035520,0,0
148.906059840,1,0
148.906259840,1,1
149.406278240,0,1
149.406444800,0,0
149.906457440,1,0
149.906641120,1,1
150.406705600,0,1
150.406896320,0,0
150.906914560,1,0
150.907098720,1,1
151.407136640,0,1
151.407342880,0,0
151.907359360,1,0
151.907543680,1,1
152.407575840,0,1
152.407756800,0,0
152.907761600,1,0
152.907942240,1,1
153.407968480,0,1
153.408143520,0,0
153.908157600,1,0
153.908344160,1,1
154.408359040,0,1
154.408530720,0,0
154.908544480,1,0
154.908729440,1,1
155.408783680,0,1
155.408970720,0,0
155.908986080,1,0
155.909168480,1,1
156.409208960,0,1
156.409409600,0,0
156.909430080,1,0
156.909615680,1,1
157.409644800,0,1
157.409806880,0,0
157.909811680,1,0
157.909991520,1,1
158.410019520,0,1
158.410211040,0,0
158.910227200,1,0
158.910444480,1,1
159.410565120,0,1
159.410737600,0,0
159.910750080,1,0
159.910939520,1,1
160.411010080,0,1
160.411203360,0,0
160.911222560,1,0
160.911400960,1,1
161.411461760,0,1
161.411660800,0,0
161.911673440,1,0
161.911854080,1,1
162.411885600,0,1
162.412064000,0,0
162.912068800,1,0
162.912258080,1,1
163.412295520,0,1
163.412475680,0,0
163.912492000,1,0
163.912677760,1,1
164.412726240,0,1
164.412902240,0,0
164.912908480,1,0
164.913088800,1,1
