Time [s],Channel 1,Channel 2
85.855432000,1,1
86.355548960,0,1
86.355784800,0,0
86.855913120,1,0
86.856100960,1,1
87.356218560,0,1
87.356453760,0,0
87.856492960,1,0
87.856680160,1,1
88.356692160,0,1
88.356943680,0,0
88.856895360,1,0
88.857167520,1,1
89.357111040,0,1
89.357380960,0,0
89.857320960,1,0
89.857589920,1,1
90.357507200,0,1
90.357748480,0,0
90.857677440,1,0
90.857940480,1,1
91.357857120,0,1
91.358041280,0,0
91.858043040,1,0
91.858153920,1,1
92.358196960,0,1
92.358373760,0,0
92.858466240,1,0
92.858712480,1,1
93.358809920,0,1
93.359046240,0,0
93.859130080,1,0
93.859380000,1,1
94.359465440,0,1
94.359692160,0,0
94.859821920,1,0
94.860061440,1,1
95.360224000,0,1
95.360448160,0,0
95.860564160,1,0
95.860917440,1,1
96.360921600,0,1
96.361251200,0,0
96.861280000,1,0
96.861630080,1,1
97.361668160,0,1
97.361992960,0,0
97.862074720,1,0
97.862420160,1,1
98.362473760,0,1
98.362801920,0,0
98.862844480,1,0
98.863166080,1,1
99.363160000,0,1
99.363477120,0,0
99.863482240,1,0
99.863853120,1,1
100.363822560,0,1
100.364157760,0,0
100.864118080,1,0
100.864521760,1,1
101.364432000,0,1
101.364770400,0,0
101.864768640,1,0
101.865091360,1,1
102.365148320,0,1
102.365444640,0,0
102.865452800,1,0
102.865768160,1,1
103.365760320,0,1
103.366076480,0,0
103.866058720,1,0
103.866376640,1,1
104.366343680,0,1
104.366658720,0,0
104.866659200,1,0
104.866988480,1,1
105.367027680,0,1
105.367332160,0,0
105.867362560,1,0
105.867766240,1,1
106.367725120,0,1
106.368041920,0,0
106.868123360,1,0
106.868448000,1,1
107.368472480,0,1
107.368727680,0,0
107.868717440,1,0
107.869186880,1,1
108.368920800,0,1
108.369176000,0,0
108.869111360,1,0
108.869379520,1,1
109.369308480,0,1
109.369567840,0,0
109.869496480,1,0
109.869769280,1,1
110.369686720,0,1
110.369942880,0,0
110.869859680,1,0
110.870257280,1,1
111.370040960,0,1
111.370301600,0,0
111.870227040,1,0
111.870493920,1,1
112.370416960,0,1
112.370623520,0,0
112.870625280,1,0
112.870964960,1,1
113.370956320,0,1
113.371293760,0,0
113.871260640,1,0
113.871572800,1,1
114.371572640,0,1
114.371883200,0,0
114.871924320,1,0
114.872257440,1,1
115.372283360,0,1
115.372596320,0,0
115.872662400,1,0
115.873977440,1,1
116.373074880,0,1
116.373327040,0,0
116.873464320,1,0
116.873709120,1,1
117.373836800,0,1
117.374071200,0,0
117.874117760,1,0
117.874310720,1,1
118.374321440,0,1
118.374496000,0,0
118.874521280,1,0
118.874711360,1,1
119.374725760,0,1
119.374907520,0,0
119.874920320,1,0
119.875114880,1,1
120.375120480,0,1
120.375312960,0,0
120.875298080,1,0
120.875552320,1,1
121.375481920,0,1
121.375752640,0,0
121.875667200,1,0
121.875926880,1,1
122.375848000,0,1
122.376113760,0,0
122.876106240,1,0
122.876428800,1,1
123.376457440,0,1
123.376774720,0,0
123.876790880,1,0
123.877331040,1,1
124.377149440,0,1
124.377481120,0,0
124.877484320,1,0
124.877808160,1,1
125.377824160,0,1
125.378135040,0,0
125.878134240,1,0
125.879714560,1,1
126.378460640,0,1
126.378779840,0,0
126.878788160,1,0
126.879113920,1,1
127.379056800,0,1
127.379312960,0,0
127.879259840,1,0
127.879502720,1,1
128.379445920,0,1
128.379703360,0,0
128.879650880,1,0
128.879952640,1,1
129.379851520,0,1
129.380109120,0,0
129.880041280,1,0
129.880499200,1,1
130.380235360,0,1
130.380489920,0,0
130.880409440,1,0
130.881945280,1,1
131.380592800,0,1
131.380773280,0,0
131.880781440,1,0
131.880986720,1,1
132.381068160,0,1
132.381293280,0,0
132.881388160,1,0
132.881569440,1,1
133.381668320,0,1
133.381905920,0,0
133.882031200,1,0
133.882264160,1,1
134.382397760,0,1
134.382640960,0,0
134.882735840,1,0
134.882974880,1,1
135.383129120,0,1
135.383350400,0,0
135.883495040,1,0
135.883931520,1,1
136.383870880,0,1
136.384193920,0,0
136.884263200,1,0
136.884610400,1,1
137.384612480,0,1
137.384937280,0,0
137.884993760,1,0
137.885361120,1,1
138.385340480,0,1
138.385633440,0,0
138.885681120,1,0
138.885989760,1,1
139.386010240,0,1
139.386328640,0,0
139.886342240,1,0
139.886690880,1,1
140.386703840,0,1
140.387015200,0,0
140.887017280,1,0
140.887460800,1,1
141.387339520,0,1
141.387668640,0,0
141.887676960,1,0
141.888011680,1,1
142.388002080,0,1
142.388318880,0,0
142.888329920,1,0
142.888684160,1,1
143.388656960,0,1
143.389008160,0,0
143.889074080,1,0
143.889405280,1,1
144.389385600,0,1
144.389703680,0,0
144.889727360,1,0
144.890071680,1,1
145.390064000,0,1
145.390364960,0,0
145.890372480,1,0
145.890815360,1,1
146.390703680,0,1
146.391032960,0,0
146.891035680,1,0
146.891367360,1,1
147.391362080,0,1
147.391676160,0,0
147.891665120,1,0
147.892006240,1,1
148.392027200,0,1
148.392327840,0,0
148.892375200,1,0
148.892684640,1,1
149.392749760,0,1
149.393081760,0,0
149.893120160,1,0
149.893456000,1,1
150.393520800,0,1
150.393825920,0,0
150.893821280,1,0
150.894197440,1,1
151.394130560,0,1
151.394457760,0,0
151.894459520,1,0
151.894798720,1,1
152.394803040,0,1
152.395145600,0,0
152.895090880,1,0
152.895377600,1,1
153.395303040,0,1
153.395491200,0,0
153.895489920,1,0
153.895822080,1,1
154.395691040,0,1
154.395945760,0,0
154.895881120,1,0
154.896156640,1,1
155.396069920,0,1
155.396329920,0,0
155.896249920,1,0
155.896604480,1,1
156.396433920,0,1
156.396706880,0,0
156.896637120,1,0
156.896914080,1,1
157.396832640,0,1
157.397093760,0,0
157.897090560,1,0
157.897453120,1,1
158.397444800,0,1
158.397666880,0,0
158.897727840,1,0
158.898072960,1,1
159.398067520,0,1
159.398378560,0,0
159.898444960,1,0
159.898797920,1,1
160.398848800,0,1
160.399165440,0,0
160.899209600,1,0
160.899846560,1,1
161.399570720,0,1
161.399824640,0,0
161.899928640,1,0
161.900186560,1,1
162.400265440,0,1
162.400501440,0,0
162.900728480,1,0
162.900988960,1,1
163.401124800,0,1
163.401357440,0,0
163.901485440,1,0
163.901733600,1,1
164.401865760,0,1
164.402106080,0,0
164.903229280,1,0
164.903449440,1,1
165.404077920,0,1
165.404269280,0,0
165.904280480,1,0
165.904559520,1,1
166.404471520,0,1
166.404737920,0,0
166.904680160,1,0
166.904958720,1,1
167.404861440,0,1
167.405132800,0,0
167.905052000,1,0
167.905383040,1,1
168.405237120,0,1
168.405491680,0,0
168.905436160,1,0
168.905703360,1,1
169.405650880,0,1
169.405919520,0,0
169.905859680,1,0
169.906133120,1,1
170.406136000,0,1
170.406444320,0,0
170.906424160,1,0
170.906786400,1,1
171.406730720,0,1
171.407054080,0,0
171.907045760,1,0
171.907387840,1,1
172.407354880,0,1
172.407673920,0,0
172.907661440,1,0
172.908009120,1,1
173.407962240,0,1
173.408277120,0,0
173.908258400,1,0
173.908597920,1,1
174.408565120,0,1
174.408873440,0,0
174.908885600,1,0
174.909217440,1,1
175.409204800,0,1
175.409506240,0,0
175.909506560,1,0
175.909850560,1,1
176.409825920,0,1
176.410065920,0,0
176.910141440,1,0
176.910381440,1,1
177.410457920,0,1
177.410692480,0,0
177.910774240,1,0
177.911029280,1,1
178.411100480,0,1
178.411319680,0,0
178.911453440,1,0
178.911641440,1,1
179.411738080,0,1
179.411976000,0,0
179.912044000,1,0
179.912274080,1,1
180.412350400,0,1
180.412625920,0,0
180.912702400,1,0
180.912986560,1,1
181.413022560,0,1
181.413354880,0,0
181.913345760,1,0
181.913687680,1,1
182.413717280,0,1
182.414051520,0,0
182.913994400,1,0
182.914293120,1,1
183.414187200,0,1
183.414449440,0,0
183.914343360,1,0
183.914616480,1,1
184.414546400,0,1
184.414811520,0,0
184.914752000,1,0
184.915030400,1,1
185.414935040,0,1
185.415193120,0,0
185.915104800,1,0
185.915431520,1,1
186.415276480,0,1
186.415538720,0,0
186.915453280,1,0
186.915730080,1,1
187.415625760,0,1
187.415892000,0,0
187.915858880,1,0
187.916230240,1,1
188.416220320,0,1
188.416580320,0,0
188.916621440,1,0
188.916954720,1,1
189.416963680,0,1
189.417251840,0,0
189.917259200,1,0
189.917603520,1,1
190.417628160,0,1
190.417930400,0,0
190.917926720,1,0
190.918260320,1,1
191.418233440,0,1
191.418467040,0,0
191.918556640,1,0
191.918788160,1,1
192.418912160,0,1
192.419149920,0,0
192.919174880,1,0
192.919372640,1,1
193.419379520,0,1
193.419550240,0,0
193.919589440,1,0
193.919774240,1,1
194.419801120,0,1
194.419944640,0,0
194.919988480,1,0
194.920176320,1,1
195.420171360,0,1
195.420336160,0,0
195.920341600,1,0
195.920557760,1,1
196.420515520,0,1
196.420770240,0,0
196.920721120,1,0
196.920996320,1,1
197.420916480,0,1
197.421179200,0,0
197.921172000,1,0
197.921718240,1,1
198.421499680,0,1
198.421811200,0,0
198.921876640,1,0
198.922218400,1,1
199.422241120,0,1
199.422468000,0,0
199.922518560,1,0
199.922843040,1,1
200.422825600,0,1
200.423165280,0,0
200.923156320,1,0
200.923504960,1,1
201.423542240,0,1
201.423908800,0,0
201.923904480,1,0
201.924237440,1,1
202.424263360,0,1
202.424580480,0,0
202.924585920,1,0
202.924932480,1,1
203.424907840,0,1
203.425232640,0,0
203.925257760,1,0
203.925588640,1,1
204.425639040,0,1
204.425962720,0,0
204.925996480,1,0
204.926317760,1,1
205.426295040,0,1
205.426608800,0,0
205.926580800,1,0
205.927467040,1,1
206.426885920,0,1
206.427124960,0,0
206.927201600,1,0
206.927438240,1,1
207.427506080,0,1
207.427737120,0,0
207.927809600,1,0
207.928072960,1,1
208.428224800,0,1
208.428458560,0,0
208.928602400,1,0
208.928858240,1,1
209.428968480,0,1
209.429211360,0,0
209.929355680,1,0
209.929567360,1,1
210.429675360,0,1
210.429896800,0,0
210.929980640,1,0
210.930250240,1,1
211.430291840,0,1
211.430617600,0,0
211.930603040,1,0
211.931462880,1,1
212.430911840,0,1
212.431236000,0,0
212.931235840,1,0
212.931588480,1,1
213.431562560,0,1
213.431890560,0,0
213.931901440,1,0
213.932262720,1,1
214.432266880,0,1
214.432585280,0,0
214.932618240,1,0
214.932878080,1,1
215.432910400,0,1
215.433236160,0,0
215.933218240,1,0
215.933613760,1,1
216.433522240,0,1
216.433862560,0,0
216.933831360,1,0
216.934152320,1,1
217.434155040,0,1
217.434473120,0,0
217.934406880,1,0
217.934699360,1,1
218.434587680,0,1
218.434845120,0,0
218.934773440,1,0
218.935050880,1,1
219.434963040,0,1
219.435225920,0,0
219.935144800,1,0
219.935336480,1,1
220.435306400,0,1
220.435593280,0,0
220.935479040,1,0
220.935778240,1,1
221.435652320,0,1
221.435848800,0,0
221.935831200,1,0
221.936016800,1,1
222.436021760,0,1
222.436204320,0,0
222.936285280,1,0
222.936542240,1,1
223.436588320,0,1
223.436819520,0,0
223.936910080,1,0
223.937168000,1,1
224.437235040,0,1
224.437469280,0,0
224.937495680,1,0
224.937683520,1,1
225.437676160,0,1
225.437841920,0,0
225.937845920,1,0
225.938035680,1,1
226.438017280,0,1
226.438310560,0,0
226.938194240,1,0
226.938514240,1,1
227.438364960,0,1
227.438626880,0,0
227.938544640,1,0
227.938829920,1,1
228.438726880,0,1
228.438980320,0,0
228.938905280,1,0
228.939236320,1,1
229.439089440,0,1
229.439344960,0,0
229.939356000,1,0
229.939690240,1,1
230.439713120,0,1
230.440026880,0,0
230.940072800,1,0
230.941263040,1,1
231.440380640,0,1
231.440718720,0,0
231.940696320,1,0
231.941033440,1,1
232.440995520,0,1
232.441307200,0,0
232.941247840,1,0
232.941536000,1,1
233.441433920,0,1
233.441693920,0,0
233.941613600,1,0
233.941922400,1,1
234.441797920,0,1
234.442048640,0,0
234.941975360,1,0
234.942242880,1,1
235.442148640,0,1
235.442383040,0,0
235.942317280,1,0
235.943286720,1,1
236.442490560,0,1
236.442771840,0,0
236.942673600,1,0
236.942935200,1,1
237.442851200,0,1
237.443111040,0,0
237.943105920,1,0
237.943461920,1,1
238.443434240,0,1
238.443733440,0,0
238.943748640,1,0
238.944152480,1,1
239.444132480,0,1
239.444459200,0,0
239.944449120,1,0
239.944776640,1,1
240.444754080,0,1
240.445086080,0,0
240.945053120,1,0
240.945435040,1,1
241.445365920,0,1
241.445698400,0,0
241.945678400,1,0
241.946006560,1,1
242.445994240,0,1
242.446322080,0,0
242.946334400,1,0
242.946670080,1,1
243.446655520,0,1
243.446972480,0,0
243.946961760,1,0
243.947308800,1,1
244.447272960,0,1
244.447606080,0,0
244.947590080,1,0
244.947927040,1,1
245.447953440,0,1
245.448183840,0,0
245.948238240,1,0
245.950121280,1,1
246.448550560,0,1
246.448881280,0,0
246.948875040,1,0
246.949193760,1,1
247.449196960,0,1
247.449518400,0,0
247.949514080,1,0
247.949802560,1,1
248.450038400,0,1
248.450366880,0,0
248.950566720,1,0
248.950912800,1,1
249.450878720,0,1
249.451235200,0,0
249.951368480,1,0
249.951714080,1,1
250.451939040,0,1
250.452245600,0,0
250.952424960,1,0
250.952948000,1,1
251.452767360,0,1
251.453012800,0,0
251.953274240,1,0
251.953526400,1,1
252.453789280,0,1
252.454036160,0,0
252.954048800,1,0
252.954237760,1,1
253.454318400,0,1
253.454491360,0,0
253.954585120,1,0
253.954782560,1,1
254.454787840,0,1
254.454963520,0,0
254.955057760,1,0
254.955240480,1,1
255.455327840,0,1
255.455498720,0,0
255.955604640,1,0
255.955798560,1,1
256.455781280,0,1
256.456073920,0,0
256.956046240,1,0
256.956501120,1,1
257.456319200,0,1
257.456592160,0,0
257.956612640,1,0
257.956947680,1,1
258.457135360,0,1
258.457453760,0,0
258.957664160,1,0
258.957987200,1,1
259.457986880,0,1
259.458301120,0,0
259.958307840,1,0
259.958621120,1,1
260.458672320,0,1
260.459037760,0,0
260.959026880,1,0
260.959947680,1,1
261.459365600,0,1
261.459607360,0,0
261.959719840,1,0
261.959955840,1,1
262.460036800,0,1
262.460271200,0,0
262.960299520,1,0
262.960484160,1,1
263.460488160,0,1
263.460670880,0,0
263.960677760,1,0
263.960856640,1,1
264.460864480,0,1
264.461036800,0,0
264.961047680,1,0
264.961220000,1,1
265.461227040,0,1
265.461388960,0,0
265.961397280,1,0
265.961564800,1,1
266.461546560,0,1
266.461832800,0,0
266.961730720,1,0
266.962169280,1,1
267.461904800,0,1
267.462162400,0,0
267.962157920,1,0
267.962496800,1,1
268.462503200,0,1
268.462808960,0,0
268.962827200,1,0
268.963163200,1,1
269.463143840,0,1
269.463460160,0,0
269.963446400,1,0
269.963772000,1,1
270.463788160,0,1
270.464082560,0,0
270.964091360,1,0
270.964438720,1,1
271.464392960,0,1
271.464624000,0,0
271.964701600,1,0
271.964932480,1,1
272.465039360,0,1
272.465280000,0,0
272.965317600,1,0
272.965508320,1,1
273.465527520,0,1
273.465702080,0,0
273.965715040,1,0
273.965906080,1,1
274.465903520,0,1
274.466076960,0,0
274.966086560,1,0
274.966261440,1,1
275.466264000,0,1
275.466435200,0,0
275.966436800,1,0
275.966642560,1,1
276.466613920,0,1
276.466898720,0,0
276.966790080,1,0
276.967120000,1,1
277.466975840,0,1
277.467240960,0,0
277.967226240,1,0
277.967563200,1,1
278.467559360,0,1
278.467890880,0,0
278.967871840,1,0
278.968198880,1,1
279.468172640,0,1
279.468482880,0,0
279.968492160,1,0
279.968824160,1,1
280.468810080,0,1
280.469151680,0,0
280.969122720,1,0
280.969444000,1,1
281.469451680,0,1
281.469755200,0,0
281.969732000,1,0
281.970044480,1,1
282.470070720,0,1
282.470387040,0,0
282.970345760,1,0
282.970609920,1,1
283.470552160,0,1
283.470828960,0,0
283.970757440,1,0
283.971020160,1,1
284.470965920,0,1
284.471232640,0,0
284.971152320,1,0
284.971408480,1,1
285.471327360,0,1
285.471598560,0,0
285.971504800,1,0
285.972203360,1,1
286.471680960,0,1
286.471825440,0,0
286.971842240,1,0
286.972019520,1,1
287.472018560,0,1
287.472191040,0,0
287.972266880,1,0
287.972512960,1,1
288.472576000,0,1
288.472802560,0,0
288.972874560,1,0
288.973117280,1,1
289.473177920,0,1
289.473408160,0,0
289.973485280,1,0
289.973718080,1,1
290.473799840,0,1
290.474020480,0,0
290.974100640,1,0
290.974451040,1,1
291.474414560,0,1
291.474767040,0,0
291.974732640,1,0
291.975098880,1,1
292.475048800,0,1
292.475365120,0,0
292.975404160,1,0
292.975737440,1,1
293.475736640,0,1
293.476063840,0,0
293.976038720,1,0
293.976356640,1,1
294.476376640,0,1
294.476682240,0,0
294.976692000,1,0
294.977010880,1,1
295.477006240,0,1
295.477306400,0,0
295.977308000,1,0
295.977648000,1,1
296.477620160,0,1
296.477961920,0,0
296.977940960,1,0
296.978230080,1,1
297.478243200,0,1
297.478560640,0,0
297.978499840,1,0
297.978785760,1,1
298.478688960,0,1
298.478932640,0,0
298.978872800,1,0
298.979144480,1,1
299.479060160,0,1
299.479326080,0,0
299.979247520,1,0
299.979527040,1,1
300.479442560,0,1
300.479693440,0,0
300.979629760,1,0
300.979869920,1,1
301.479836000,0,1
301.480035040,0,0
301.980040480,1,0
301.980199360,1,1
302.480234560,0,1
302.480426080,0,0
302.980474240,1,0
302.980711040,1,1
303.480780640,0,1
303.481010880,0,0
303.981105600,1,0
303.981349600,1,1
304.481428000,0,1
304.481659040,0,0
304.981743360,1,0
304.981989760,1,1
305.482063840,0,1
305.482289440,0,0
305.982367200,1,0
305.982717120,1,1
306.482677440,0,1
306.483018400,0,0
